tweet_id,text,user_id,user_screen_name,user_name,created_at,retweets,likes,replies
949792627595063297,#Bitcoin #BTC #Ripple #XRPhttps://news.bitcoin.com/trading-tip-the-wall-did-ripple-almost-dethrone-bitcoin-using-this-one-simple-trick/?utm_source=OneSignal%20Push&utm_medium=notification&utm_campaign=Push%20Notifications …,903149382115131394,MDCrypto,MD R.I.G.,1515283183000.0,0,1,0
949792626953170944,で、BinanceのBTCは動かしてもいいの？ ウラン君、シルバー君、キャッシュプラス君、ツーエックス君。 君たち、どこで何してるの。喉から手がでるほど欲しいわけでは全くないけど、どうせならもらっておきたいのだけども。 まいっか、動かすかな。 #こんなんでもRT嬉しいです #ハードフォーク #bitcoin,891079106741260288,ks_cctrader,ペンギン(crypto penguin),1515283183000.0,0,2,0
949792567381708800,"New exchange UpCoin giving away $500 USD for trading to the first 100,000 that sign up.  Looks like it'll launch in 25 days. http://upcoin.com/?ID=fee49d68  #xvg #xrp #poe #trx #bitcoin #Ethereum #Litecoin #PacCoin #PAC",59003850,BTC_Bourgeois,Rich ₿ourgeois,1515283169000.0,0,0,0
949792511832313856,$BTC $USD #bitcoin Ready?,102243107,cbassthefish,cbassthefish,1515283155000.0,0,0,0
949792347319095297,This is the first spinner that brings free BTC. Spin&Earn. https://btcspinner.io/invite/389652  #btcspinnerio #btcspinner #bitcoin #btc,510604774,phoenixgkp1,Phoenix GKP,1515283116000.0,0,0,0
949792339417059329,I liked a @YouTube video http://youtu.be/K0EHsGLX6Os?a  Earn Bitcoin free Daily 0.001 btc | no investment 5 minute work,3054294362,JAmor227,Hernan Lopez,1515283114000.0,0,0,0
949792310736207873,Security and Scalability: Senior Consultant of Kairos Future Compares Bitcoin and Bitcoin Cash http://www.xbt.money/security-and-scalability-senior-consultant-of-kairos-future-compares-bitcoin-and-bitcoin-cash/ … #XBT #BTC #Bitcoin,199453782,xbtmoney,XBTmoney,1515283107000.0,1,0,2
949792213776588800,Bitcoin CASH .999 Silver w 24 Kt Gold #11/100 Physical Unfunded DIY Wallet BTC: $255.00 (0 Bids) End Date: Saturday Jan-13-2018 8:44:43 PST Buy It Now for only: $335.00 Buy It Now | Bid now | Add to watch list http://dlvr.it/Q9BJDY pic.twitter.com/ioa32xcoIw,882339027860566016,CurrencyStudent,CurrencyStudent,1515283084000.0,0,0,0
949792213604716544,Bitcoin cash is controlled by some miners consortium. It doesn't solve the BTC issues and is too controlled by the consortium too have a concrete future (but that's my personal opinion and I understand people might not agree),2657367262,GrandChavinN,Nicolas Grand-Chavin,1515283084000.0,0,0,1
949792156109111296,Bitcoin: What Does 2018 Hold In Store? – Investopedia (blog) http://bit.ly/2EferZy  #bitcoin #fintech #btc #crypto,3092694229,btc_update,Bitcoin update,1515283070000.0,0,0,0
